Date,P,Blue,Red,Winner,Bans,Bans,Picks,Picks,Blue Roster,Red Roster,Len,BG,BK,BT,BD,BB,BRH,RG,RK,RT,RD,RB,RRH,SB,VOD
2022-02-12 ,12.3,LOUD,paiN Gaming,LOUD,"Jayce,Lee Sin,Gwen,Syndra,Vex","Zeri,Twisted Fate,Thresh,Jarvan IV,Volibear","Gnar,Trundle,Ryze,Jhin,Karma","Renekton,Xin Zhao,Zoe,Caitlyn,Lux","Robo,Tay,tinowns,DudsTheBoy,Ceos","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage",33:16,63552,16,11,3,1,1,53651,6,3,2,1,1,SB,https://www.youtube.com/watch?v=3P8VueRwIZc
2022-02-12 ,12.3,Netshoes Miners,KaBuM! e-Sports,KaBuM! e-Sports,null,null,null,null,null,null,28:24,48100,10,4,2,null,null,57900,19,9,3,null,null,SB,https://www.youtube.com/watch?v=qOjIHpykibI&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=88
2022-02-13 ,12.3,Liberty,Flamengo Esports,Liberty,"Zoe,Gwen,Aphelios,Camille,Irelia","Caitlyn,Corki,Zeri,Tahm Kench,Janna","Graves,Lee Sin,Twisted Fate,Jinx,Alistar","Jax,Xin Zhao,Ryze,Jhin,Leona","Kiari,Disamis,Krastyel,Matsukaze,Wos","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong",34:54,67523,21,11,4,1,0,61197,13,3,1,1,2,SB,https://www.youtube.com/watch?v=lOvnbSvlv0M
2022-02-13 ,12.3,KaBuM! e-Sports,FURIA Esports,FURIA Esports,null,null,null,null,null,null,30:42,54400,7,7,0,null,null,60800,15,11,4,null,null,SB,https://www.youtube.com/watch?v=SDtqGFBOSLg&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=86
2022-02-13 ,12.3,Netshoes Miners,LOUD,LOUD,"Thresh,Caitlyn,Zeri,Lulu,Braum","Vex,Graves,Xin Zhao,Syndra,Zoe","Gwen,Trundle,Viktor,Jinx,Nautilus","Janna,Lee Sin,Ryze,Aphelios,Leona","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)","Robo,Tay,tinowns,DudsTheBoy,Ceos",38:07,72472,15,6,1,2,0,73191,18,10,5,1,2,SB,https://www.youtube.com/watch?v=F1s8g4PlhZ4
2022-02-13 ,12.3,RED Canids,INTZ,RED Canids,null,null,null,null,null,null,22:27,49600,30,10,2,null,null,38200,8,3,0,null,null,SB,https://www.youtube.com/watch?v=SqQfVpbSx6k&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=84
2022-02-13 ,12.3,Rensga Esports,paiN Gaming,paiN Gaming,null,null,null,null,null,null,30:36,47400,5,2,0,null,null,60600,14,11,4,null,null,SB,https://www.youtube.com/watch?v=m8QPWDWtAwQ&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=83
2022-02-19 ,12.3,FURIA Esports,Netshoes Miners,Netshoes Miners,"Tryndamere,Ryze,Jinx,Xin Zhao,Camille","Gwen,Caitlyn,Zeri,Zoe,Twisted Fate","Gnar,Lee Sin,Veigar,Aphelios,Leona","Graves,Viego,Vex,Ezreal,Braum","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)",40:58,75245,16,9,3,2,2,75412,22,8,3,1,0,SB,https://www.youtube.com/watch?v=Cooi-c3KxHc
2022-02-19 ,12.3,paiN Gaming,RED Canids,RED Canids,null,null,null,null,null,null,31:00,50200,8,2,2,null,null,63400,21,10,3,null,null,SB,https://www.youtube.com/watch?v=9PWy4rxW1oM&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=81
2022-02-19 ,12.3,Flamengo Esports,KaBuM! e-Sports,KaBuM! e-Sports,null,null,null,null,null,null,29:26,47200,4,3,1,null,null,57200,16,10,3,null,null,SB,https://www.youtube.com/watch?v=Z4XBiS705HQ&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=80
2022-02-19,12.3,LOUD,Rensga Esports,LOUD,"Xin Zhao,Senna,Syndra,Camille,Viego","Zeri,Ryze,Twisted Fate,Lee Sin,Nautilus","Graves,Hecarim,Ahri,Aphelios,Leona","Jayce,Trundle,Zoe,Lucian,Nami","Robo,Tay,tinowns,DudsTheBoy,Ceos","Ayel,Minerva,Goku,Hades (Park Ji-seong),Guard",31:43,60766,20,11,2,1,0,51985,8,4,3,0,2,SB,https://www.youtube.com/watch?v=mkGw4q-jEdM
2022-02-19 ,12.3,INTZ,Liberty,Liberty,null,null,null,null,null,null,30:20,50000,6,2,1,null,null,59100,17,11,3,null,null,SB,https://www.youtube.com/watch?v=tQEyW-ZGY3o&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=78
2022-02-20 ,12.3,RED Canids,Rensga Esports,RED Canids,null,null,null,null,null,null,24:09,47400,15,7,2,null,null,41200,7,4,1,null,null,SB,https://www.youtube.com/watch?v=Tf7ed7mi2rI&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=77
2022-02-20 ,12.3,INTZ,KaBuM! e-Sports,INTZ,null,null,null,null,null,null,30:22,59600,30,8,4,null,null,53200,15,4,1,null,null,SB,https://www.youtube.com/watch?v=MZmSIkUUihU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=76
2022-02-20 ,12.3,Liberty,paiN Gaming,Liberty,"Jayce,Gwen,Thresh,Morgana,Tryndamere","Zeri,Lux,Jarvan IV,Nautilus,Braum","Graves,Xin Zhao,Twisted Fate,Jinx,Alistar","Gnar,Lee Sin,Ryze,Caitlyn,Leona","Kiari,Disamis,Krastyel,Matsukaze,Wos","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage",35:39,66782,16,11,3,2,1,63536,13,5,2,0,1,SB,https://www.youtube.com/watch?v=thd8FBXbasY
2022-02-20 ,12.3,Flamengo Esports,Netshoes Miners,Netshoes Miners,"Tryndamere,Vex,Jinx,Camille,Renekton","Zeri,Caitlyn,Gwen,Jhin,Ezreal","Graves,Xin Zhao,Ahri,Kalista,Sett","Gnar,Lee Sin,Ryze,Aphelios,Tahm Kench","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Kuri","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)",31:51,50421,6,3,1,0,0,58230,13,9,3,2,2,SB,https://www.youtube.com/watch?v=W25sM_D4ExU
2022-02-20 ,12.3,FURIA Esports,LOUD,LOUD,null,null,null,null,null,null,29:53,46000,2,3,0,null,null,60000,16,11,4,null,null,SB,https://www.youtube.com/watch?v=76EPyA_Ci64&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=73
2022-02-26 ,12.4,FURIA Esports,Flamengo Esports,FURIA Esports,null,null,null,null,null,null,31:24,61500,19,10,2,null,null,49200,7,1,2,null,null,SB,https://www.youtube.com/watch?v=8ylBPwsC9og&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=72
2022-02-26 ,12.4,LOUD,RED Canids,RED Canids,"Xin Zhao,Diana,Gwen,Camille,Tryndamere","Zeri,Twisted Fate,Hecarim,Viego,Syndra","Graves,Volibear,Ryze,Jinx,Nautilus","Trundle,Lee Sin,Ahri,Aphelios,Leona","Robo,Tay,tinowns,DudsTheBoy,Ceos","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)",38:58,67312,13,6,1,1,2,75772,25,10,5,1,0,SB,https://www.youtube.com/watch?v=4yh44AQ8Aws
2022-02-26 ,12.5,Rensga Esports,Liberty,Rensga Esports,null,null,null,null,null,null,25:14,51700,17,9,2,null,null,41800,11,1,2,null,null,SB,https://www.youtube.com/watch?v=nEE-9JLPx7I&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=70
2022-02-26 ,12.6,KaBuM! e-Sports,paiN Gaming,paiN Gaming,null,null,null,null,null,null,28:03,44300,6,2,2,null,null,57900,19,10,2,null,null,SB,https://www.youtube.com/watch?v=ZQViwqry1Fs&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=69
2022-02-26 ,12.4,Netshoes Miners,INTZ,Netshoes Miners,"Gwen,Hecarim,Twisted Fate,Syndra,Veigar","Vex,Zeri,Jinx,Tryndamere,Irelia","Camille,Viego,Ryze,Jhin,Galio","Graves,Xin Zhao,Ahri,Aphelios,Leona","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)","Tyrin (William Portugal),Yampi,Kick (João Rosas),micaO,Decoy",31:29,57743,15,9,2,1,1,50592,13,3,2,0,1,SB,https://www.youtube.com/watch?v=gmMpvuDMS-k
2022-02-27 ,12.4,Flamengo Esports,LOUD,Flamengo Esports,"Graves,Caitlyn,Twisted Fate,Camille,Leona","Gwen,Zeri,Syndra,Thresh,Tahm Kench","Jayce,Lee Sin,Viktor,Jinx,Braum","Malphite,Viego,Ahri,Aphelios,Nautilus","Boal,Sting,Tutsz,Flare (Luiz Felipe Lobo),Kuri","Robo,Tay,tinowns,DudsTheBoy,Ceos",35:56,66215,14,10,4,1,0,58860,9,6,1,0,2,SB,https://www.youtube.com/watch?v=Tw8zgziBTMw
2022-02-27 ,12.5,INTZ,FURIA Esports,FURIA Esports,null,null,null,null,null,null,29:05,53300,17,5,1,null,null,58000,16,10,3,null,null,SB,https://www.youtube.com/watch?v=_WR8Y6gjylA&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=66
2022-02-27 ,12.6,paiN Gaming,Netshoes Miners,paiN Gaming,null,null,null,null,null,null,23:23,47700,23,8,4,null,null,34900,5,1,0,null,null,SB,https://www.youtube.com/watch?v=78bbOtbsuq4&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=65
2022-02-27 ,12.4,Liberty,RED Canids,RED Canids,"Gwen,Jinx,Leona,Tryndamere,Ahri","Twisted Fate,Zeri,Ryze,Orianna,Syndra","Fiora,Jarvan IV,Zoe,Caitlyn,Lux","Camille,Xin Zhao,Vex,Ezreal,Karma","Kiari,Disamis,Krastyel,Matsukaze,Wos","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)",36:55,60314,12,6,3,0,2,66211,16,10,3,1,0,SB,https://www.youtube.com/watch?v=te9SiMPlD6Q
2022-02-27 ,12.4,Rensga Esports,KaBuM! e-Sports,KaBuM! e-Sports,"Lee Sin,Jayce,Vex,Renekton,Rumble","Jinx,Zeri,Caitlyn,Yone,Irelia","Akali,Xin Zhao,Ahri,Aphelios,Nautilus","Graves,Jarvan IV,Ryze,Ezreal,Leona","Trap (Sin Seung-min),Minerva,Goku,NinjaKiwi,Mocha (Kim Tae-gyeom)","Parang,Wiz,Hauz,Disave,Scuro",32:52,61315,20,4,1,1,1,60308,16,8,4,1,1,SB,https://www.youtube.com/watch?v=sluh2WyxjjM
2022-03-05 ,12.4,FURIA Esports,paiN Gaming,FURIA Esports,"Lee Sin,Twisted Fate,Caitlyn,Irelia,Camille","Renata Glasc,Gwen,Xin Zhao,LeBlanc,Vex","Jayce,Volibear,Sylas,Zeri,Leona","Gnar,Hecarim,Ahri,Jinx,Braum","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage",37:52,72640,21,8,5,0,1,68902,16,9,1,1,1,SB,https://www.youtube.com/watch?v=-IgN-U8GKgc
2022-03-05 ,12.4,LOUD,Liberty,LOUD,"Gwen,Xin Zhao,Viego,Alistar,Nautilus","Ahri,Gnar,Graves,Ryze,Vex","Gragas,Hecarim,Corki,Zeri,Leona","Aatrox,Lee Sin,Twisted Fate,Jinx,Thresh","Robo,Tay,tinowns,DudsTheBoy,Ceos","Kiari,Disamis,Krastyel,Matsukaze,Wos",41:33,74836,21,7,5,1,1,65130,11,5,0,0,1,SB,https://www.youtube.com/watch?v=PIDM-1d7hZ0
2022-03-05 ,12.4,Flamengo Esports,INTZ,Flamengo Esports,"Renata Glasc,Gwen,Zeri,Sylas,Camille","Ryze,Lee Sin,Twisted Fate,Braum,Thresh","Graves,Volibear,Ahri,Jinx,Nautilus","Gnar,Xin Zhao,Viktor,Aphelios,Leona","Boal,Sting,Tutsz,Flare (Luiz Felipe Lobo),Kuri","Tyrin (William Portugal),Yampi,Muja,micaO,Decoy",32:32,61872,14,9,3,1,0,55885,8,5,2,0,2,SB,https://www.youtube.com/watch?v=i7p_F7S0ZVE
2022-03-05 ,12.4,Netshoes Miners,Rensga Esports,Netshoes Miners,null,null,null,null,null,null,26:34,57600,27,9,4,null,null,44000,14,1,0,null,null,SB,https://www.youtube.com/watch?v=0QJM-TOmkEQ&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=59
